Execution Number,Crime Type,Sentiment Score,Cluster Label
141,,0.7977,"1 (drug, burglary, fraud)"
142,,0.9842,"1 (drug, burglary, fraud)"
143,,0.0,"1 (drug, burglary, fraud)"
144,,0.9751,"1 (drug, burglary, fraud)"
145,,0.9898,"1 (drug, burglary, fraud)"
146,,0.7115,"1 (drug, burglary, fraud)"
147,,0.9636,"1 (drug, burglary, fraud)"
148,,0.915,"1 (drug, burglary, fraud)"
149,,0.0,"1 (drug, burglary, fraud)"
15,,0.0772,"1 (drug, burglary, fraud)"
150,,-0.5405,"1 (drug, burglary, fraud)"
151,,0.9672,"1 (drug, burglary, fraud)"
152,,0.9195,"1 (drug, burglary, fraud)"
153,,0.872,"1 (drug, burglary, fraud)"
155,,0.0,"1 (drug, burglary, fraud)"
156,,0.886,"1 (drug, burglary, fraud)"
157,,0.296,"1 (drug, burglary, fraud)"
158,,0.9614,"1 (drug, burglary, fraud)"
159,,0.9694,"1 (drug, burglary, fraud)"
16,,-0.3612,"1 (drug, burglary, fraud)"
160,,0.9959,"1 (drug, burglary, fraud)"
161,,0.3612,"1 (drug, burglary, fraud)"
162,,0.9875,"1 (drug, burglary, fraud)"
163,,0.8271,"1 (drug, burglary, fraud)"
164,,0.9271,"1 (drug, burglary, fraud)"
165,,0.9759,"1 (drug, burglary, fraud)"
166,,0.9904,"1 (drug, burglary, fraud)"
167,,-0.8566,"1 (drug, burglary, fraud)"
168,,-0.7351,"1 (drug, burglary, fraud)"
169,,0.8735,"1 (drug, burglary, fraud)"
17,,-0.842,"1 (drug, burglary, fraud)"
170,,0.0,"1 (drug, burglary, fraud)"
171,,0.0,"1 (drug, burglary, fraud)"
172,,0.9868,"1 (drug, burglary, fraud)"
173,,0.0,"1 (drug, burglary, fraud)"
174,,0.3612,"1 (drug, burglary, fraud)"
175,,0.0,"1 (drug, burglary, fraud)"
176,,0.0,"1 (drug, burglary, fraud)"
177,,0.0,"1 (drug, burglary, fraud)"
178,,0.0,"1 (drug, burglary, fraud)"
179,,0.9844,"1 (drug, burglary, fraud)"
18,,0.0,"1 (drug, burglary, fraud)"
180,,0.9329,"1 (drug, burglary, fraud)"
181,,0.0,"1 (drug, burglary, fraud)"
182,,-0.8087,"1 (drug, burglary, fraud)"
183,,0.0,"1 (drug, burglary, fraud)"
184,,0.0,"1 (drug, burglary, fraud)"
185,,0.0,"1 (drug, burglary, fraud)"
186,,0.0,"1 (drug, burglary, fraud)"
187,,0.986,"1 (drug, burglary, fraud)"
188,,0.9942,"1 (drug, burglary, fraud)"
189,,0.0,"1 (drug, burglary, fraud)"
19,,0.6987,"1 (drug, burglary, fraud)"
190,,0.9826,"1 (drug, burglary, fraud)"
191,,0.0,"1 (drug, burglary, fraud)"
192,,0.9881,"1 (drug, burglary, fraud)"
193,,0.0,"1 (drug, burglary, fraud)"
194,,0.34,"1 (drug, burglary, fraud)"
195,,0.9395,"1 (drug, burglary, fraud)"
196,,0.7783,"1 (drug, burglary, fraud)"
197,,0.9972,"1 (drug, burglary, fraud)"
198,,0.9141,"1 (drug, burglary, fraud)"
199,,0.9607,"1 (drug, burglary, fraud)"
2,,0.0,"1 (drug, burglary, fraud)"
20,,0.0,"1 (drug, burglary, fraud)"
200,,0.6369,"1 (drug, burglary, fraud)"
201,,0.8555,"1 (drug, burglary, fraud)"
202,,0.9318,"1 (drug, burglary, fraud)"
203,,0.0,"1 (drug, burglary, fraud)"
204,,0.9661,"1 (drug, burglary, fraud)"
205,,0.0,"1 (drug, burglary, fraud)"
206,,0.9806,"1 (drug, burglary, fraud)"
207,,0.9634,"1 (drug, burglary, fraud)"
208,,0.0,"1 (drug, burglary, fraud)"
209,,0.9441,"1 (drug, burglary, fraud)"
21,,0.0,"1 (drug, burglary, fraud)"
210,,0.0,"1 (drug, burglary, fraud)"
211,,0.9955,"1 (drug, burglary, fraud)"
212,,0.9175,"1 (drug, burglary, fraud)"
213,,0.9986,"1 (drug, burglary, fraud)"
214,,0.9977,"1 (drug, burglary, fraud)"
215,,0.9984,"1 (drug, burglary, fraud)"
216,,0.9878,"1 (drug, burglary, fraud)"
217,,0.9912,"1 (drug, burglary, fraud)"
218,,0.9956,"1 (drug, burglary, fraud)"
219,,-0.4998,"1 (drug, burglary, fraud)"
22,murder,0.0,2 (murder)
220,,0.6767,"1 (drug, burglary, fraud)"
221,,0.9917,"1 (drug, burglary, fraud)"
222,,0.9981,"1 (drug, burglary, fraud)"
223,,0.9714,"1 (drug, burglary, fraud)"
224,,0.8228,"1 (drug, burglary, fraud)"
225,,0.9981,"1 (drug, burglary, fraud)"
226,,-0.6124,"1 (drug, burglary, fraud)"
227,,0.8779,"1 (drug, burglary, fraud)"
228,,0.0,"1 (drug, burglary, fraud)"
229,,0.9515,"1 (drug, burglary, fraud)"
23,,0.8126,"1 (drug, burglary, fraud)"
230,,-0.0644,"1 (drug, burglary, fraud)"
231,,0.9964,"1 (drug, burglary, fraud)"
232,,0.9816,"1 (drug, burglary, fraud)"
233,,0.9969,"1 (drug, burglary, fraud)"
234,,0.926,"1 (drug, burglary, fraud)"
235,murder,0.9918,2 (murder)
236,,0.9597,"1 (drug, burglary, fraud)"
237,,0.9924,"1 (drug, burglary, fraud)"
238,,0.0,"1 (drug, burglary, fraud)"
239,,0.6705,"1 (drug, burglary, fraud)"
24,,0.0,"1 (drug, burglary, fraud)"
240,,0.9442,"1 (drug, burglary, fraud)"
241,,0.0,"1 (drug, burglary, fraud)"
242,,0.0,"1 (drug, burglary, fraud)"
243,,0.9881,"1 (drug, burglary, fraud)"
244,,0.9494,"1 (drug, burglary, fraud)"
245,,0.9963,"1 (drug, burglary, fraud)"
246,,0.9374,"1 (drug, burglary, fraud)"
247,,-0.7645,"1 (drug, burglary, fraud)"
248,,0.9981,"1 (drug, burglary, fraud)"
249,,0.998,"1 (drug, burglary, fraud)"
25,,0.0,"1 (drug, burglary, fraud)"
250,,0.9074,"1 (drug, burglary, fraud)"
251,,0.9558,"1 (drug, burglary, fraud)"
252,,0.0,"1 (drug, burglary, fraud)"
253,,0.9963,"1 (drug, burglary, fraud)"
254,,0.9649,"1 (drug, burglary, fraud)"
255,,0.971,"1 (drug, burglary, fraud)"
256,,0.9501,"1 (drug, burglary, fraud)"
257,,0.9769,"1 (drug, burglary, fraud)"
258,,0.9907,"1 (drug, burglary, fraud)"
259,,-0.7783,"1 (drug, burglary, fraud)"
26,,0.0,"1 (drug, burglary, fraud)"
260,,0.9875,"1 (drug, burglary, fraud)"
